reporting_period,province,district,program_id,program_name,indicator_code,indicator_name,reported_value,target_value,reporting_officer,submission_date,submission_status,ministry,is_valid_geo,source_file,ingestion_timestamp
2025M01,Lusaka,Lusaka,MGEE001,Climate Adaptation,MGEE_IND_001,Environmental Inspections,601.0,609.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE001,Climate Adaptation,MGEE_IND_002,Climate Adaptation Activities,1292.0,1269.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE001,Climate Adaptation,MGEE_IND_003,Community Trainings Conducted,1114.0,1302.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE001,Climate Adaptation,MGEE_IND_004,Forestry Restoration Projects,444.0,456.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE001,Climate Adaptation,MGEE_IND_005,Environmental Compliance Reviews,885.0,862.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE002,Environmental Compliance,MGEE_IND_001,Environmental Inspections,800.0,829.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE002,Environmental Compliance,MGEE_IND_002,Climate Adaptation Activities,412.0,406.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE002,Environmental Compliance,MGEE_IND_003,Community Trainings Conducted,2053.0,2250.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE002,Environmental Compliance,MGEE_IND_004,Forestry Restoration Projects,356.0,338.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE002,Environmental Compliance,MGEE_IND_005,Environmental Compliance Reviews,663.0,778.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE003,Forestry Restoration,MGEE_IND_001,Environmental Inspections,1416.0,1522.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE003,Forestry Restoration,MGEE_IND_002,Climate Adaptation Activities,1291.0,1235.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE003,Forestry Restoration,MGEE_IND_003,Community Trainings Conducted,1698.0,1658.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
2025M01,Lusaka,Lusaka,MGEE003,Forestry Restoration,MGEE_IND_004,Forestry Restoration Projects,333.0,372.0,Lusaka Reporting Officer,2026-01-15,Submitted,MGEE,True,MGEE_WEIGHTED_2025_2026.csv,2026-05-25 10:13:25.985419
