province_id,province_name,district_id,district_name
P0001,CENTRAL,D0001,CHIBOMBO
P0001,CENTRAL,D0002,CHISAMBA
P0001,CENTRAL,D0003,CHITAMBO
P0001,CENTRAL,D0004,KABWE
P0001,CENTRAL,D0005,KAPIRI MPOSHI
P0001,CENTRAL,D0006,LUANO
P0001,CENTRAL,D0007,MKUSHI
P0001,CENTRAL,D0008,MUMBWA
P0001,CENTRAL,D0009,NGABWE
P0001,CENTRAL,D0010,SERENJE
P0001,CENTRAL,D0011,SHIBUYUNJI
P0002,COPPERBELT,D0012,CHILILABOMBWE
P0002,COPPERBELT,D0013,CHINGOLA
P0002,COPPERBELT,D0014,KALULUSHI
P0002,COPPERBELT,D0015,KITWE
P0002,COPPERBELT,D0016,LUANSHYA
P0002,COPPERBELT,D0017,LUFWANYAMA
P0002,COPPERBELT,D0018,MASAITI
P0002,COPPERBELT,D0019,MPONGWE
P0002,COPPERBELT,D0020,MUFULIRA
P0002,COPPERBELT,D0021,NDOLA
P0003,EASTERN,D0022,CHADIZA
P0003,EASTERN,D0023,CHIPATA
P0003,EASTERN,D0024,KATETE
P0003,EASTERN,D0025,LUNDAZI
P0003,EASTERN,D0026,MAMBWE
P0003,EASTERN,D0027,NYIMBA
P0003,EASTERN,D0028,PETAUKE
P0003,EASTERN,D0029,SINDA
P0003,EASTERN,D0030,VUBWI
P0003,EASTERN,D0031,CHASEFU
P0003,EASTERN,D0032,CHIPANGALI
P0003,EASTERN,D0033,KASENENGWA
P0003,EASTERN,D0034,LUMEZI
P0003,EASTERN,D0035,LUSANGAZI
P0003,EASTERN,D0036,CHAMA
P0004,LUAPULA,D0037,CHEMBE
P0004,LUAPULA,D0038,CHIENGE
P0004,LUAPULA,D0039,CHIPILI
P0004,LUAPULA,D0040,KAWAMBWA
P0004,LUAPULA,D0041,LUNGA
P0004,LUAPULA,D0042,MANSA
P0004,LUAPULA,D0043,MILENGE
P0004,LUAPULA,D0044,MWANSABOMBWE
P0004,LUAPULA,D0045,MWENSE
P0004,LUAPULA,D0046,NCHELENGE
P0004,LUAPULA,D0047,SAMFYA
P0004,LUAPULA,D0048,CHIFUNABULI
P0005,LUSAKA,D0049,CHILANGA
P0005,LUSAKA,D0050,CHONGWE
P0005,LUSAKA,D0051,KAFUE
P0005,LUSAKA,D0052,LUANGWA
P0005,LUSAKA,D0053,LUSAKA
P0005,LUSAKA,D0054,RUFUNSA
P0006,MUCHINGA,D0055,CHINSALI
P0006,MUCHINGA,D0056,ISOKA
P0006,MUCHINGA,D0057,MAFINGA
P0006,MUCHINGA,D0058,MPIKA
P0006,MUCHINGA,D0059,NAKONDE
P0006,MUCHINGA,D0060,SHIWAN'GANDU
P0006,MUCHINGA,D0061,KANCHIBIYA
P0006,MUCHINGA,D0062,LAVUSHIMANDA
P0007,NORTHERN,D0063,CHILUBI
P0007,NORTHERN,D0064,KAPUTA
P0007,NORTHERN,D0065,KASAMA
P0007,NORTHERN,D0066,LUWINGU
P0007,NORTHERN,D0067,MBALA
P0007,NORTHERN,D0068,MPOROKOSO
P0007,NORTHERN,D0069,MPULUNGU
P0007,NORTHERN,D0070,MUNGWI
P0007,NORTHERN,D0071,NSAMA
P0007,NORTHERN,D0072,SENGA HILL
P0007,NORTHERN,D0073,LUNTE
P0007,NORTHERN,D0074,LUPOSOSHI
P0008,NORTH-WESTERN,D0075,CHAVUMA
P0008,NORTH-WESTERN,D0076,IKELENGE
P0008,NORTH-WESTERN,D0077,KABOMPO
P0008,NORTH-WESTERN,D0078,KASEMPA
P0008,NORTH-WESTERN,D0079,MANYINGA
P0008,NORTH-WESTERN,D0080,MUFUMBWE
P0008,NORTH-WESTERN,D0081,MWINILUNGA
P0008,NORTH-WESTERN,D0082,SOLWEZI
P0008,NORTH-WESTERN,D0083,ZAMBEZI
P0008,NORTH-WESTERN,D0084,KALUMBILA
P0008,NORTH-WESTERN,D0085,MUSHINDAMO
P0009,SOUTHERN,D0086,ITEZHI-TEZHI
P0009,SOUTHERN,D0087,CHIRUNDU
P0009,SOUTHERN,D0088,CHIKANKATA
P0009,SOUTHERN,D0089,CHOMA
P0009,SOUTHERN,D0090,GWEMBE
P0009,SOUTHERN,D0091,KALOMO
P0009,SOUTHERN,D0092,KAZUNGULA
P0009,SOUTHERN,D0093,LIVINGSTONE
P0009,SOUTHERN,D0094,MAZABUKA
P0009,SOUTHERN,D0095,MONZE
P0009,SOUTHERN,D0096,NAMWALA
P0009,SOUTHERN,D0097,PEMBA
P0009,SOUTHERN,D0098,SIAVONGA
P0009,SOUTHERN,D0099,SINAZONGWE
P0009,SOUTHERN,D0100,ZIMBA
P0010,WESTERN,D0101,KALABO
P0010,WESTERN,D0102,KAOMA
P0010,WESTERN,D0103,LIMULUNGA
P0010,WESTERN,D0104,LUAMPA
P0010,WESTERN,D0105,LUKULU
P0010,WESTERN,D0106,MITETE
P0010,WESTERN,D0107,MONGU
P0010,WESTERN,D0108,MULOBEZI
P0010,WESTERN,D0109,MWANDI
P0010,WESTERN,D0110,NALOLO
P0010,WESTERN,D0111,NKEYEMA
P0010,WESTERN,D0112,SENANGA
P0010,WESTERN,D0113,SESHEKE
P0010,WESTERN,D0114,SHANGOMBO
P0010,WESTERN,D0115,SIKONGO
P0010,WESTERN,D0116,SIOMA
